specObjID,spiral,elliptical,petroMag_u,petroMag_r,petroMag_g,z
394153781329160192,0,1,17.89061,15.40151,16.34714,0.07869764
394159553765206016,1,0,19.84493,16.64642,17.36961,0.08007237
395217558896142336,1,0,18.01554,16.45401,16.94251,0.06807034
395271984721717248,1,0,18.86077,16.54339,17.25902,0.07069369
395355272727521280,1,0,19.07548,17.80965,18.11056,0.08254228
396320643919931392,1,0,19.84265,17.32624,18.15077,0.08149867
396373695355971584,0,1,19.97524,17.03179,18.36842,0.1797614
396406680704804864,1,0,19.19581,17.33254,17.96929,0.07677556
396420699478059008,0,1,29.07515,14.11778,14.98,0.07343803
397557869530081280,1,0,19.84493,17.3405,18.20469,0.06695448
397598826338215936,0,1,19.80892,17.43056,18.54594,0.1568571
398650510703355904,1,0,19.8267,16.97061,17.74178,0.09422243
398686244831258624,0,1,19.9103,17.39396,18.74887,0.2124402
398731599685904384,0,1,20.8198,17.12059,18.55355,0.2479645
399827537833781248,1,0,17.37045,15.38054,16.00041,0.04861883
403145864429725696,1,0,19.08969,17.17785,17.86105,0.06109989
404249224398530560,0,1,16.96608,14.1837,15.05043,0.02443302
404273413654341632,1,0,18.4906,16.63525,17.28471,0.1100142
417811154883078144,1,0,19.18269,17.22556,17.98759,0.1213786
417815827807496192,0,1,19.48939,17.90559,19.1614,0.2937588
418894175430273024,1,0,16.89216,14.97084,15.54943,0.01624549
418900222744225792,1,0,21.0927,17.80286,18.72001,0.1324324
418983785627936768,1,0,19.44234,17.51161,18.30193,0.1002108
418990657575610368,1,0,20.78161,17.65202,18.79503,0.123019
420065698610440192,1,0,18.91398,16.90845,17.67405,0.09858753
421131675183900672,1,0,19.59251,17.79703,18.35651,0.1115759
421238877567608832,1,0,19.22498,16.85413,17.71659,0.0954068
422354063091329024,0,1,21.20286,17.94515,19.12109,0.1711856
422364233573885952,0,1,21.12019,17.89377,19.48277,0.2938366
422369731132024832,1,0,19.70903,17.7429,18.48108,0.1454079
423361490670610432,1,0,19.66576,17.15,18.03688,0.05721969
423398324310140928,0,1,20.80564,17.69778,18.69792,0.1556819
423400523333396480,0,1,19.46132,17.4267,19.06647,0.2088863
423481062560131072,1,0,19.56409,17.47367,18.13768,0.057076
423513773031057408,1,0,19.21833,16.6924,17.51869,0.08907206
424509380843563008,1,0,18.3899,17.05334,17.44489,0.08797351
424537693267978240,1,0,18.83651,17.09921,17.6454,0.08143818
424541541558675456,1,0,20.67818,17.77766,18.74906,0.09191861
424597616651692032,1,0,18.42545,16.32635,17.03774,0.03930955
425600646150907904,1,0,19.61264,16.89603,17.97554,0.08813325
425681185377642496,0,1,18.96804,16.36655,17.3553,0.07468061
425732312668334080,1,0,18.66864,16.79717,17.37035,0.08529741
425738359982286848,0,1,20.18391,17.44522,18.66788,0.1882307
426717194219448320,0,1,18.05813,15.24541,16.30545,0.07913061
426733686893864960,1,0,19.43487,17.73787,18.34208,0.09582248
427899169269639168,1,0,19.41856,16.73339,17.6804,0.1222429
427951396071958528,1,0,19.8622,17.04839,18.0134,0.1145254
427961016798701568,1,0,19.60712,17.13854,17.91779,0.1132302
429079220442916864,0,1,16.34856,13.73109,14.55425,0.04185164
430111661945284608,1,0,18.91867,16.3405,17.41017,0.1180678
430134476811560960,1,0,18.36536,16.73427,17.1344,0.02916128
430254048701081600,0,1,20.06304,17.20274,18.55606,0.1872872
431388744734500864,1,0,21.67771,17.55755,18.73828,0.1806181
432365935744018432,1,0,21.68979,16.49209,16.97647,0.03587269
432369509156808704,1,0,19.38576,17.02944,17.87375,0.09411257
432439877900986368,1,0,17.49211,15.34188,16.02635,0.05764471
432487706656794624,1,0,18.0382,16.12655,16.73821,0.05796046
433543512059832320,1,0,18.11795,16.24907,16.8784,0.03565883
433576497408665600,1,0,21.11072,17.74298,18.69887,0.09045941
434647421818005504,1,0,19.93988,17.229,18.11373,0.07687403
300640041116395520,0,1,19.7222,16.97177,17.88299,0.08325355
300779953971030016,0,1,20.99963,17.77555,19.07602,0.2138558
301812670686849024,1,0,21.84923,17.66672,18.53073,0.1377121
301904754785675264,1,0,18.41771,16.64394,17.19581,0.09174398
304000428578727936,0,1,19.44958,16.88223,17.6933,0.04497541
304038636607793152,1,0,19.24816,16.9184,17.58952,0.0673152
305160138031917056,1,0,18.19701,16.4947,17.04805,0.09240983
305253046764464128,1,0,19.09468,17.00628,17.73248,0.09462593
305257444810975232,0,1,18.80332,16.16043,17.10631,0.0208566
305287406502832128,1,0,19.03835,16.93775,17.70257,0.09599821
306331118888577024,1,0,17.63405,15.94174,16.42008,0.03456711
306405335923451904,1,0,18.15689,17.0623,17.30689,0.07232792
307393247389444096,1,0,19.4577,17.54478,18.11883,0.1151128
307396545924327424,1,0,24.98151,16.42014,17.29657,0.08575514
307440526389438464,1,0,23.76712,17.35618,18.12869,0.1299185
307451796383623168,1,0,19.044,17.27656,17.78762,0.09276517
307488355145246720,1,0,18.07189,16.82025,17.10066,0.02840719
308512549488322560,1,0,18.01702,16.18696,16.63374,0.02878676
308533440209250304,1,0,20.39189,17.75029,18.67004,0.09076775
308536738744133632,0,1,19.76531,16.83477,17.95998,0.136159
308550482639480832,1,0,19.8083,17.70614,18.49307,0.1131507
308648888930166784,1,0,19.38722,17.00574,17.88711,0.114823
309627179350648832,1,0,18.43809,16.89701,17.36176,0.03723248
309628003984369664,1,0,19.85155,17.42255,18.29525,0.08220433
309681055420409856,1,0,20.43669,17.71743,18.87452,0.1605944
309726685152962560,0,1,20.69848,16.36472,17.42025,0.1164734
309759945379702784,1,0,19.22896,17.45353,18.05197,0.1362896
309760220257609728,1,0,19.53225,17.17834,18.05489,0.0946015
309792106094815232,0,1,18.2683,15.84661,16.89831,0.1064805
310856158455818240,1,0,16.37182,14.25859,14.88267,0.04061377
310903162577905664,1,0,19.9855,17.27535,18.2009,0.08943505
311899320095893504,1,0,18.66343,16.53952,17.34936,0.07376079
311967764694722560,0,1,19.26509,16.4184,17.33219,0.09282136
312005697845880832,1,0,20.13541,17.72979,18.70467,0.1187076
312041706851690496,0,1,19.75669,16.61136,17.62682,0.122871
313012300606892032,1,0,20.6845,17.24911,18.17191,0.0620543
313103560071997440,1,0,18.25042,16.41087,17.00014,0.06776201
313104659583625216,0,1,20.96166,18.02003,19.45629,0.2480372
313118953234786304,1,0,18.15283,16.71555,17.20337,0.06146253
313140943467341824,1,0,20.21547,17.16061,18.17319,0.1061649
315283062164318208,0,1,20.56688,17.66587,18.81474,0.16838
315303952885245952,1,0,20.10255,17.51225,18.59187,0.146874
315328142141057024,1,0,18.05099,16.32528,16.8612,0.05839508
315384766989887488,1,0,19.14192,16.84433,17.69988,0.1025819
316473833290754048,1,0,18.52331,16.5422,17.07037,0.02337928
316501046203541504,1,0,18.18385,17.02695,17.6264,0.1012395
316549974470977536,1,0,19.8087,17.74394,18.40262,0.06685431
322019226644670464,1,0,20.19169,17.69089,18.606,0.1110043
322144845848143872,0,1,19.02407,16.64562,17.43402,0.04934281
322171509005117440,1,0,19.31957,17.62746,18.1985,0.1203009
323220718378575872,0,1,19.67019,16.85703,17.94467,0.1290994
323223192279738368,1,0,18.65077,17.1443,17.53229,0.08258596
324286969393735680,1,0,19.20129,17.42609,17.92565,0.03961219
324368333254191104,0,1,21.74725,17.43051,18.99954,0.2755778
324416162009999360,0,1,23.38561,17.60349,19.1252,0.2430862
325393352801413120,1,0,19.34817,17.21988,17.94433,0.09199516
325554156376975360,0,1,19.132,16.10141,16.82619,0.0239896
326522825298962432,1,0,19.29302,17.7051,18.33013,0.1388261
326558284548958208,1,0,19.10832,17.06106,17.73906,0.1098502
326569004787329024,0,1,20.86176,17.51276,19.08985,0.248169
328768847106566144,1,0,18.97727,16.80737,17.49767,0.07702418
328846637554231296,1,0,18.59264,16.78675,17.50625,0.1039807
328919205321664512,0,1,20.57158,17.33128,18.62989,0.2021562
329911790785816576,1,0,19.45992,16.91456,17.67386,0.08306821
329961543686973440,0,1,20.22369,17.36337,18.35253,0.133714
330033286820685824,1,0,19.54206,17.48065,18.17974,0.132352
331029449338284032,1,0,19.14157,17.39116,18.02178,0.1130071
331034122262702080,1,0,20.41126,17.39537,18.29522,0.08245434
331154243908036608,1,0,19.87497,17.49434,18.30605,0.08353195
331165239024314368,1,0,19.49966,17.67083,18.2231,0.09620002
331167987803383808,1,0,18.80103,16.78759,17.48601,0.09509806
331172935605708800,1,0,19.63277,17.40413,17.97295,0.0814271
336660867733022720,1,0,19.78017,17.57076,18.0733,0.07662983
336692753570228224,0,1,19.98313,17.1808,18.09768,0.08871085
336788685959751680,0,1,19.56137,16.72887,17.83699,0.1440381
336802429855098880,0,1,19.73857,16.82071,17.87675,0.1438926
341177660560402432,0,1,18.91603,16.17553,17.06089,0.07752284
341242256868534272,0,1,18.89553,16.1735,17.03732,0.05463255
341289260990621696,1,0,17.75702,15.44175,16.17164,0.0514957
342349739854948352,1,0,21.13338,17.8514,19.11562,0.1495938
342352213756110848,1,0,20.7921,17.84258,19.02973,0.13833
342392071052617728,1,0,19.55527,17.0231,17.87068,0.1187583
342438525418891264,1,0,19.00646,17.16112,17.78056,0.1263062
343500928596338688,0,1,19.50173,16.74123,17.81501,0.1358309
343504502009128960,0,1,19.45642,16.40577,17.47576,0.1263192
343548207596333056,1,0,18.75348,17.35978,17.81068,0.1445137
344531446272124928,1,0,20.12686,17.37783,18.37332,0.1349201
344677681318619136,1,0,18.61075,17.17358,17.59859,0.07819632
345736786330281984,0,1,19.80577,17.36815,18.70275,0.220548
345757677051209728,1,0,18.45415,16.754,17.25514,0.07198604
345764274120976384,1,0,19.24869,16.94016,17.73353,0.07793455
345774719481440256,0,1,29.45782,17.08636,18.40482,0.27989
345781041673299968,1,0,20.83447,17.65373,18.75478,0.1385081
345800832882599936,1,0,17.97194,15.89899,16.55385,0.05012248
346819805266864128,1,0,18.60822,16.87892,17.41496,0.02807129
346897595714529280,0,1,20.69791,17.71036,18.93544,0.1979268
350195306014468096,0,1,20.83354,17.69751,18.70566,0.09036797
350219495270279168,0,1,20.86986,17.91755,18.97317,0.1127652
350292612793526272,0,1,19.10976,16.38801,17.46786,0.1380527
351352542405355520,1,0,19.03331,16.85039,17.26465,0.05085623
351401195794884608,1,0,19.91997,17.25219,18.32662,0.1182697
351405593841395712,1,0,18.61776,16.86812,17.49389,0.1084851
352454527665858560,1,0,19.68897,17.87678,18.47396,0.0583006
352459200590276608,1,0,18.72465,17.41623,17.80252,0.05120587
352500432276318208,1,0,20.48475,17.6666,18.69319,0.1266329
352525446165850112,1,0,19.83838,17.13767,18.09621,0.1108686
352553758590265344,1,0,19.75141,17.616,18.54719,0.1909009
434674909608699904,1,0,17.75605,16.00766,16.48475,0.03684165
435757928612390912,1,0,20.03616,17.29054,18.16779,0.1629147
435804108100757504,1,0,19.21025,17.05089,17.78404,0.07333755
435863756606564352,0,1,20.32651,17.71445,19.3113,0.3006892
436972614116730880,1,0,18.69687,17.04994,17.60417,0.1016012
437979491923421184,1,0,18.38221,16.29156,16.97096,0.06333922
440273897594578944,1,0,19.24614,17.32121,17.92714,0.09375781
440391545338750976,1,0,20.49188,17.64385,18.55735,0.105686
440402265577121792,1,0,17.61363,15.30419,16.05792,0.0683405
441380281354577920,1,0,18.95711,16.08805,16.97727,0.07312613
441382755255740416,1,0,19.58156,17.28616,18.24188,0.07237677
442537242481682432,0,1,20.32259,17.18579,18.51953,0.2006202
442580398313072640,1,0,18.24916,16.49181,16.98683,0.07954801
442584246603769856,1,0,20.28168,17.47319,18.39791,0.1075112
442624378778183680,1,0,19.11694,17.23966,17.79191,0.1245836
444750009448032256,1,0,17.98922,16.11989,16.67442,0.06451342
444784644064307200,0,1,19.52487,16.55983,17.73244,0.1417931
444786018453841920,0,1,20.05819,16.3089,17.39504,0.1402144
444841818668951552,0,1,17.8019,15.22912,16.147,0.06339278
444847316227090432,1,0,20.19143,17.61202,18.61086,0.0667296
445900099164334080,1,0,19.53853,17.57616,18.23877,0.09515661
445923463786424320,0,1,17.50615,15.0485,15.82856,0.01861519
447036169184634880,1,0,20.02378,17.49083,18.22317,0.09351338
447066130876491776,0,1,20.53072,17.11584,18.24652,0.1097862
447077675748583424,0,1,21.20156,17.72819,19.29365,0.2689145
447095817690441728,1,0,20.47743,17.59608,18.61024,0.1200334
447109561585788928,0,1,18.52381,15.89522,16.75408,0.04449842
447116983289276416,1,0,18.96625,17.47141,17.93414,0.06774846
447153267172993024,1,0,20.0271,17.45481,18.34249,0.0775254
448129908292478976,0,1,19.58649,16.79625,18.02693,0.174891
448159869984335872,1,0,20.41612,17.46874,18.44276,0.1043503
448164817786660864,0,1,18.06686,15.65293,16.39563,0.04413679
448180210949449728,1,0,19.45965,17.43743,18.11688,0.07674157
448196153868052480,1,0,17.87906,15.56353,16.34021,0.07694832
448199452402935808,1,0,20.23042,17.64101,18.41212,0.04655037
448256077251766272,1,0,18.10793,16.32616,16.92937,0.08916503
449237666727225344,0,1,19.85759,16.73065,17.85659,0.160296
449367958855116800,1,0,16.68723,15.00276,15.47317,0.02852938
450410570806487040,0,1,19.07618,16.53988,17.62831,0.1277195
450482313940199424,1,0,18.95201,17.36684,17.88317,0.08631469
450512825387870208,0,1,19.89552,16.32407,17.48289,0.1534572
451494138978789376,1,0,19.2364,17.22437,18.00533,0.08451762
451511731164833792,1,0,19.97497,17.58541,18.21527,0.1244185
451558460409014272,1,0,18.64281,17.16456,17.50495,0.0568723
451559010164828160,1,0,20.62728,17.63564,18.71686,0.1144652
451581275275290624,1,0,18.15242,15.93448,16.47857,0.05662658
451618108914821120,1,0,19.31173,17.27053,18.21641,0.2002874
451656042065979392,0,1,18.34305,15.46121,16.3562,0.07756221
452675839184627712,1,0,19.04091,17.53203,18.0673,0.08207773
453776726510561280,0,1,21.18877,17.17485,18.42548,0.1923091
453828403557066752,1,0,20.54915,17.44652,18.37077,0.07716483
454933136875218944,1,0,19.20342,17.32034,18.0254,0.1043296
454947430526380032,1,0,19.73905,17.53808,18.28583,0.08165982
454948530038007808,0,1,19.77142,16.95439,18.09753,0.1588731
454989761724049408,1,0,18.20884,16.47416,16.99886,0.04322178
455004605131024384,0,1,19.51168,16.38543,17.51686,0.1716282
455012576590325760,1,0,20.34019,17.12421,18.05165,0.07427833
455038689991485440,1,0,18.55655,16.45992,17.05615,0.06515175
456030449546848256,1,0,18.3379,16.42872,17.03253,0.0556363
456044743198009344,1,0,19.33095,17.64797,18.23903,0.1729943
456052439779403776,1,0,19.194,17.51366,18.12287,0.1212344
456067008308471808,1,0,17.79821,15.81455,16.46649,0.06800903
456095045854980096,0,1,17.86644,15.50474,16.31049,0.04180128
456126656814278656,1,0,18.14861,16.60669,17.05566,0.04086074
456130505104975872,0,1,21.00037,17.5442,19.36086,0.2928054
456141225343346688,1,0,17.71105,16.33348,16.65203,0.02544302
456161291430553600,1,0,18.41328,17.11193,17.58469,0.09384133
458285273084618752,1,0,20.21415,18.29333,18.62244,0.03225034
458340798421821440,1,0,18.43872,16.42075,17.17326,0.0599069
458396598636931072,1,0,15.85797,13.96601,14.58047,0.02087685
459368017176848384,1,0,17.17894,15.3732,15.9535,0.037891
459369941322196992,0,1,20.30454,17.10983,18.56574,0.2386005
459405950328006656,1,0,18.2727,15.9916,16.75282,0.05270482
459419694223353856,1,0,19.52917,17.64207,18.32012,0.135679
460508486451619840,0,1,19.30678,16.4593,17.58868,0.1375757
460598646405097472,1,0,18.42649,16.26402,17.03187,0.07577575
460634655410907136,1,0,18.70876,16.74651,17.4416,0.06424688
461697332476405760,0,1,20.20508,17.27227,18.38424,0.02353335
462751489266313216,1,0,18.20636,16.07726,16.68885,0.07748082
462790521929099264,1,0,16.25659,14.4066,14.99108,0.02759168
462803441190725632,0,1,18.23221,15.4597,16.35654,0.04502775
462810313138399232,1,0,18.919,17.01635,17.61767,0.08468514
462853468969789440,1,0,18.31989,17.00618,17.377,0.08739535
462877658225600512,1,0,17.8605,15.94489,16.51895,0.06539442
462909818940712960,0,1,21.91841,17.86724,19.34725,0.204424
465034350350592000,1,0,21.33907,16.71576,17.65495,0.1167154
465081629350586368,1,0,16.27369,13.25839,14.19496,0.02598043
465097022513375232,1,0,19.0698,16.95788,17.76126,0.06720046
465100595926165504,1,0,19.77704,17.82466,18.64218,0.1988355
465122311280814080,1,0,16.83972,15.58795,15.90931,0.03587931
465155296629647360,0,1,20.58157,17.55208,18.89623,0.2138174
465160244431972352,1,0,19.92295,17.33046,18.35165,0.1308096
466128640103442432,1,0,19.55889,16.7404,17.71329,0.08613177
466142658876696576,1,0,21.65008,17.71574,18.91418,0.1333231
466171795934832640,1,0,18.45214,16.45691,17.20745,0.05469548
466230070051104768,1,0,18.14031,16.20174,16.80585,0.03637505
466250685894125568,1,0,21.15148,17.80478,19.09744,0.1493052
467305941189027840,1,0,19.14149,16.98472,17.8392,0.1389524
467358717747161088,1,0,20.03688,17.00119,18.04693,0.08767021
468422770141718528,1,0,20.21568,17.27767,18.08963,0.1256034
468531896670775296,1,0,19.66391,17.31013,18.24711,0.1034879
468540417885890560,0,1,21.775,17.98425,19.17389,0.1829304
469603645797722112,1,0,19.1157,17.68913,18.31679,0.1211215
469617114815162368,1,0,19.22113,17.58259,18.10788,0.09830767
470635262515374080,1,0,19.41791,16.77212,17.73659,0.1276575
472941489060603904,1,0,20.01583,17.17914,18.20957,0.1024731
473015706095478784,0,1,20.88253,17.49836,18.81211,0.1885383
354676365619914752,1,0,18.47333,16.45049,17.08891,0.05484087
367048357278935040,1,0,18.57964,16.52527,17.14383,0.0704634
367086840185907200,1,0,20.03945,17.48347,18.55653,0.1407026
367106081639393280,1,0,19.59311,16.83912,17.6737,0.05145178
367114602854508544,1,0,18.68198,16.93134,17.69038,0.09665092
367128621627762688,1,0,19.13443,16.65609,17.37641,0.1178651
368194596791937024,1,0,18.87363,17.53326,17.82623,0.04025273
